pattern_type_id,pattern_boundary_type,pattern_duration_weeks,pattern_height_pct,measured_move_target_pct,reward_risk_ratio,pattern_touches_upper,pattern_touches_lower,breakout_direction,trend_direction_lt,weekly_chart_alignment,breakout_strength_pct,gap_breakout,last_day_rule_stop_pct,oi_change_in_pattern_pct,volume_breakout_vs_avg,news_sentiment_vs_pattern,pattern_obviousness_score,symbol,entry_date,entry_price,breakout_success
6.0,0.0,12.0,27.388,27.388,27.681,2.0,2.0,-1.0,-1.0,1.0,-6.299,0.0,0.989,0.0,1.211,0.0,0.886,RELIANCE,2020-11-24 00:00:00,906.4087524414062,0
6.0,0.0,12.0,27.329,27.329,47.07,2.0,2.0,-1.0,-1.0,1.0,-6.528,0.0,0.581,0.0,0.532,0.0,0.909,RELIANCE,2020-12-02 00:00:00,903.6859130859375,0
5.0,0.0,12.0,23.203,23.203,1.515,2.0,2.0,1.0,-1.0,0.0,-15.852,0.0,15.311,0.0,1.268,0.0,0.975,RELIANCE,2020-12-09 00:00:00,935.4370727539062,0
5.0,0.0,12.0,22.204,22.204,1.699,1.0,2.0,1.0,-1.0,0.0,-15.482,0.0,13.066,0.0,0.557,0.0,0.936,RELIANCE,2020-12-16 00:00:00,912.177490234375,0
5.0,0.0,12.0,21.383,21.383,1.446,2.0,2.0,1.0,-1.0,0.0,-16.124,0.0,14.791,0.0,0.863,0.0,0.885,RELIANCE,2020-12-23 00:00:00,897.0864868164062,0
5.0,0.0,12.0,21.44,21.44,2.018,2.0,2.0,1.0,-1.0,0.0,-13.577,0.0,10.623,0.0,0.68,0.0,0.898,RELIANCE,2020-12-31 00:00:00,916.2156372070312,0
5.0,0.0,12.0,20.559,20.559,1.249,1.0,2.0,1.0,-1.0,0.0,-16.916,0.0,16.466,0.0,1.432,0.0,0.907,RELIANCE,2021-01-07 00:00:00,881.9954223632812,0
9.0,0.0,4.6,9.319,9.319,13.195,1.0,1.0,-1.0,0.0,0.0,-4.503,0.0,0.706,0.0,1.064,0.0,0.412,RELIANCE,2021-01-14 00:00:00,904.8165893554688,0
9.0,0.0,5.6,10.339,10.339,2.092,1.0,1.0,-1.0,0.0,0.0,-10.751,0.0,4.941,0.0,1.21,0.0,0.448,RELIANCE,2021-01-21 00:00:00,968.8727416992188,1
9.0,0.0,5.0,17.596,17.596,1.0,1.0,1.0,-1.0,0.0,0.0,-17.178,0.0,17.596,0.0,1.195,0.0,0.565,RELIANCE,2021-02-26 00:00:00,962.5963745117188,0
5.0,0.0,12.0,17.919,17.919,21.482,1.0,1.0,1.0,1.0,1.0,-1.984,0.0,0.834,0.0,0.796,0.0,0.766,RELIANCE,2021-03-05 00:00:00,1005.4696655273438,0
5.0,0.0,12.0,18.801,18.801,29.336,1.0,1.0,1.0,1.0,1.0,-4.225,0.0,0.641,0.0,0.634,0.0,0.757,RELIANCE,2021-03-15 00:00:00,973.2570190429688,0
20.0,1.0,9.6,21.962,21.962,1.512,1.0,1.0,-1.0,0.0,0.0,-13.77,1.0,14.527,0.0,1.547,0.0,0.685,RELIANCE,2021-03-22 00:00:00,951.7972412109375,0
0.0,0.0,5.2,13.044,13.044,7.533,1.0,2.0,-1.0,0.0,0.0,-1.061,0.0,1.732,0.0,0.939,0.0,0.426,RELIANCE,2021-03-30 00:00:00,936.5216064453125,0
0.0,0.0,6.2,13.653,13.653,9.336,1.0,2.0,-1.0,0.0,0.0,-1.131,0.0,1.463,0.0,0.683,0.0,0.462,RELIANCE,2021-04-07 00:00:00,924.31494140625,0
12.0,0.0,6.8,14.86,14.86,1.056,1.0,1.0,1.0,0.0,0.0,-13.446,0.0,14.071,0.0,0.959,0.0,0.593,RELIANCE,2021-04-15 00:00:00,897.2941284179688,1
6.0,0.0,12.0,21.082,21.082,49.925,1.0,1.0,-1.0,0.0,0.0,-4.175,0.0,0.422,0.0,0.618,0.0,0.745,RELIANCE,2021-04-23 00:00:00,878.8572387695312,0
6.0,0.0,12.0,21.819,21.819,1.984,1.0,1.0,-1.0,0.0,0.0,-10.604,0.0,10.996,0.0,0.807,0.0,0.774,RELIANCE,2021-04-30 00:00:00,920.46142578125,0
9.0,0.0,4.0,9.069,9.069,2.919,2.0,1.0,-1.0,-1.0,1.0,-2.893,0.0,3.107,0.0,0.815,0.0,0.451,RELIANCE,2021-05-07 00:00:00,891.5023193359375,0
1.0,0.0,5.4,8.332,8.332,1.244,2.0,1.0,1.0,-1.0,0.0,-5.354,0.0,6.696,0.0,0.79,0.0,0.46,RELIANCE,2021-05-17 00:00:00,904.7012329101562,1
1.0,0.0,6.4,8.335,8.335,3.043,2.0,1.0,1.0,-1.0,0.0,-2.167,0.0,2.739,0.0,0.668,0.0,0.469,RELIANCE,2021-05-24 00:00:00,916.3771362304688,1
5.0,0.0,12.0,16.956,16.956,3.389,1.0,1.0,1.0,-1.0,0.0,-6.143,0.0,5.003,0.0,3.079,0.0,0.777,RELIANCE,2021-05-31 00:00:00,996.9780883789062,0
5.0,0.0,12.0,17.042,17.042,56.806,1.0,1.0,1.0,1.0,1.0,-2.644,0.0,0.3,0.0,0.772,0.0,0.816,RELIANCE,2021-06-07 00:00:00,1027.9447021484375,0
5.0,0.0,12.0,16.867,16.867,11.295,2.0,1.0,1.0,1.0,1.0,-1.638,0.0,1.493,0.0,0.749,0.0,0.837,RELIANCE,2021-06-14 00:00:00,1036.02099609375,0
5.0,0.0,12.0,17.891,17.891,9.642,1.0,1.0,1.0,1.0,1.0,-2.165,0.0,1.856,0.0,1.63,0.0,0.934,RELIANCE,2021-06-21 00:00:00,1032.490478515625,0
5.0,0.0,12.0,18.922,18.922,17.054,1.0,1.0,1.0,1.0,1.0,-7.493,0.0,1.11,0.0,2.828,0.0,0.919,RELIANCE,2021-06-28 00:00:00,962.6886596679688,0
5.0,0.0,12.0,18.703,18.703,11.03,1.0,1.0,1.0,1.0,1.0,-6.411,0.0,1.696,0.0,0.71,0.0,0.942,RELIANCE,2021-07-05 00:00:00,992.3169555664062,0
6.0,0.0,12.0,20.48,20.48,2.701,1.0,1.0,-1.0,0.0,0.0,-10.364,0.0,7.581,0.0,0.472,0.0,0.961,RELIANCE,2021-07-12 00:00:00,961.8118286132812,0
6.0,0.0,12.0,19.931,19.931,1.804,1.0,1.0,-1.0,1.0,0.0,-11.452,0.0,11.048,0.0,0.479,0.0,0.936,RELIANCE,2021-07-19 00:00:00,968.6651000976562,0
6.0,0.0,12.0,18.496,18.496,2.916,1.0,6.0,-1.0,1.0,0.0,-8.964,0.0,6.342,0.0,0.698,0.0,0.923,RELIANCE,2021-07-27 00:00:00,948.3821411132812,0
6.0,0.0,12.0,19.097,19.097,2.498,1.0,3.0,-1.0,0.0,0.0,-8.736,0.0,7.643,0.0,0.635,0.0,0.927,RELIANCE,2021-08-03 00:00:00,963.4962768554688,0
9.0,0.0,5.0,6.706,6.706,5.846,4.0,1.0,-1.0,0.0,0.0,-3.02,0.0,1.147,0.0,0.694,0.0,0.432,RELIANCE,2021-08-10 00:00:00,963.6347045898438,0
1.0,0.0,5.2,8.604,8.604,4.396,1.0,1.0,1.0,0.0,0.0,-1.339,0.0,1.957,0.0,1.962,0.0,0.54,RELIANCE,2021-08-17 00:00:00,998.801025390625,1
1.0,0.0,6.2,8.559,8.559,7.092,2.0,1.0,1.0,0.0,0.0,-0.876,0.0,1.207,0.0,1.068,0.0,0.534,RELIANCE,2021-08-25 00:00:00,1016.49951171875,1
5.0,0.0,12.0,11.846,11.846,16.824,3.0,1.0,1.0,0.0,0.0,-1.121,1.0,0.704,0.0,1.746,0.0,0.687,RELIANCE,2021-09-01 00:00:00,1046.2662353515625,1
5.0,0.0,12.0,18.999,18.999,16.047,1.0,1.0,1.0,1.0,1.0,-1.577,0.0,1.184,0.0,1.099,0.0,1.0,RELIANCE,2021-09-08 00:00:00,1122.067626953125,0
5.0,0.0,12.0,19.499,19.499,47.321,1.0,1.0,1.0,1.0,1.0,-4.101,0.0,0.412,0.0,0.596,0.0,1.0,RELIANCE,2021-09-16 00:00:00,1120.6138916015625,0
5.0,0.0,12.0,19.08,19.08,14.38,1.0,1.0,1.0,1.0,1.0,-1.996,0.0,1.327,0.0,0.819,0.0,1.0,RELIANCE,2021-09-23 00:00:00,1149.0885009765625,0
5.0,0.0,12.0,21.906,21.906,70.993,2.0,1.0,1.0,1.0,1.0,-1.64,1.0,0.309,0.0,0.742,0.0,1.0,RELIANCE,2021-09-30 00:00:00,1162.6334228515625,0
5.0,0.0,12.0,23.583,23.583,68.995,2.0,1.0,1.0,1.0,1.0,-2.294,1.0,0.342,0.0,0.778,0.0,1.0,RELIANCE,2021-10-07 00:00:00,1187.1622314453125,0
5.0,0.0,12.0,26.114,26.114,27.437,2.0,1.0,1.0,1.0,1.0,-0.921,0.0,0.952,0.0,0.745,0.0,1.0,RELIANCE,2021-10-14 00:00:00,1246.234130859375,0
5.0,0.0,12.0,28.031,28.031,38.088,3.0,1.0,1.0,1.0,1.0,-4.683,0.0,0.736,0.0,1.521,0.0,1.0,RELIANCE,2021-10-22 00:00:00,1212.544677734375,0
6.0,0.0,12.0,32.913,32.913,1.249,3.0,3.0,-1.0,1.0,0.0,-25.889,0.0,26.354,0.0,0.724,0.0,1.0,RELIANCE,2021-10-29 00:00:00,1170.47900390625,0
6.0,0.0,12.0,32.451,32.451,1.626,3.0,2.0,-1.0,1.0,0.0,-20.499,0.0,19.964,0.0,0.127,0.0,1.0,RELIANCE,2021-11-08 00:00:00,1154.6495361328125,0
6.0,0.0,12.0,28.603,28.603,1.425,3.0,2.0,-1.0,1.0,0.0,-21.61,0.0,20.076,0.0,0.649,0.0,1.0,RELIANCE,2021-11-15 00:00:00,1189.654296875,0
6.0,0.0,12.0,25.935,25.935,2.318,3.0,1.0,-1.0,0.0,0.0,-8.424,1.0,11.187,0.0,1.787,0.0,1.0,RELIANCE,2021-11-23 00:00:00,1101.0693359375,0
6.0,0.0,12.0,21.894,21.894,2.131,3.0,2.0,-1.0,0.0,0.0,-8.271,0.0,10.273,0.0,1.713,0.0,0.851,RELIANCE,2021-11-30 00:00:00,1110.0916748046875,0
6.0,0.0,12.0,18.723,18.723,7.089,3.0,1.0,-1.0,0.0,0.0,-2.321,0.0,2.641,0.0,0.744,0.0,0.748,RELIANCE,2021-12-07 00:00:00,1099.223388671875,0
1.0,0.0,5.0,12.582,12.582,41.942,2.0,1.0,1.0,0.0,0.0,-7.4,1.0,0.3,0.0,0.831,0.0,0.468,RELIANCE,2021-12-14 00:00:00,1098.4388427734375,0
6.0,0.0,12.0,22.142,22.142,12.451,3.0,1.0,-1.0,-1.0,1.0,-1.346,1.0,1.778,0.0,1.052,0.0,0.843,RELIANCE,2021-12-21 00:00:00,1066.6414794921875,0
6.0,0.0,12.0,21.274,21.274,65.064,3.0,1.0,-1.0,-1.0,1.0,-5.48,0.0,0.327,0.0,0.303,0.0,0.85,RELIANCE,2021-12-28 00:00:00,1106.8612060546875,0
5.0,0.0,12.0,19.602,19.602,2.414,3.0,1.0,1.0,-1.0,0.0,-12.63,0.0,8.119,0.0,0.405,0.0,0.863,RELIANCE,2022-01-04 00:00:00,1134.4127197265625,0
1.0,0.0,5.2,9.631,9.631,32.104,4.0,1.0,1.0,-1.0,0.0,-1.574,0.0,0.3,0.0,0.778,0.0,0.492,RELIANCE,2022-01-11 00:00:00,1133.2359619140625,0
1.0,0.0,6.2,13.527,13.527,45.09,2.0,1.0,1.0,0.0,0.0,-0.586,0.0,0.3,0.0,0.656,0.0,0.701,RELIANCE,2022-01-18 00:00:00,1163.810302734375,0
1.0,0.0,7.2,13.642,13.642,45.474,3.0,1.0,1.0,0.0,0.0,-7.377,0.0,0.3,0.0,1.759,0.0,0.658,RELIANCE,2022-01-25 00:00:00,1095.2545166015625,0
10.0,0.0,4.6,10.217,10.217,1.191,3.0,2.0,1.0,0.0,0.0,-7.346,1.0,8.577,0.0,0.93,0.0,0.504,RELIANCE,2022-02-02 00:00:00,1100.0079345703125,1
0.0,0.0,5.8,11.481,11.481,3.483,3.0,4.0,-1.0,0.0,0.0,-2.215,0.0,3.296,0.0,0.885,0.0,0.525,RELIANCE,2022-02-09 00:00:00,1099.98486328125,0
0.0,0.0,6.8,11.538,11.538,1.743,3.0,5.0,-1.0,0.0,0.0,-4.9,0.0,6.619,0.0,0.834,0.0,0.531,RELIANCE,2022-02-16 00:00:00,1113.5760498046875,0
0.0,0.0,7.8,11.595,11.595,1.961,3.0,5.0,-1.0,0.0,0.0,-3.644,1.0,5.913,0.0,1.028,0.0,0.538,RELIANCE,2022-02-23 00:00:00,1095.6236572265625,0
10.0,0.0,5.0,8.816,8.816,2.335,2.0,2.0,1.0,0.0,0.0,-2.355,0.0,3.776,0.0,1.561,0.0,0.402,RELIANCE,2022-03-03 00:00:00,1097.5850830078125,0
0.0,0.0,5.2,12.461,12.461,1.858,2.0,1.0,-1.0,0.0,0.0,-7.986,0.0,6.708,0.0,1.503,0.0,0.486,RELIANCE,2022-03-10 00:00:00,1104.02294921875,0
0.0,0.0,6.2,12.578,12.578,1.314,2.0,1.0,-1.0,0.0,0.0,-10.245,0.0,9.573,0.0,0.825,0.0,0.496,RELIANCE,2022-03-17 00:00:00,1145.30419921875,0
0.0,0.0,7.2,18.566,18.566,0.992,1.0,1.0,-1.0,0.0,0.0,-18.287,1.0,18.71,0.0,0.941,0.0,0.709,RELIANCE,2022-03-25 00:00:00,1197.984375,0
0.0,0.0,8.2,23.56,23.56,0.989,1.0,1.0,-1.0,0.0,0.0,-20.86,0.0,23.815,0.0,0.959,0.0,0.915,RELIANCE,2022-04-01 00:00:00,1225.67431640625,0
5.0,0.0,12.0,19.745,19.745,65.815,2.0,1.0,1.0,1.0,1.0,-4.284,0.0,0.3,0.0,1.118,0.0,0.937,RELIANCE,2022-04-08 00:00:00,1207.1220703125,0
5.0,0.0,12.0,19.97,19.97,23.039,2.0,1.0,1.0,1.0,1.0,-5.363,0.0,0.867,0.0,0.731,0.0,0.923,RELIANCE,2022-04-19 00:00:00,1218.728759765625,0
5.0,0.0,12.0,23.08,23.08,19.841,2.0,1.0,1.0,1.0,1.0,-3.819,0.0,1.163,0.0,1.195,0.0,1.0,RELIANCE,2022-04-26 00:00:00,1280.9620361328125,0
5.0,0.0,12.0,24.318,24.318,30.185,2.0,1.0,1.0,1.0,1.0,-2.65,0.0,0.806,0.0,0.663,0.0,1.0,RELIANCE,2022-05-04 00:00:00,1243.1190185546875,0
6.0,0.0,12.0,28.368,28.368,4.725,2.0,1.0,-1.0,0.0,0.0,-13.516,1.0,6.004,0.0,1.305,0.0,1.0,RELIANCE,2022-05-11 00:00:00,1130.3515625,0
6.0,0.0,12.0,28.481,28.481,2.562,2.0,1.0,-1.0,1.0,0.0,-19.993,0.0,11.118,0.0,0.855,0.0,1.0,RELIANCE,2022-05-25 00:00:00,1205.4376220703125,0
17.0,1.0,5.0,19.714,19.714,2.285,2.0,1.0,-1.0,1.0,0.0,-11.082,0.0,8.627,0.0,3.685,0.0,0.656,RELIANCE,2022-06-01 00:00:00,1215.35986328125,0
0.0,0.0,10.4,22.459,22.459,0.958,2.0,1.0,-1.0,0.0,0.0,-10.89,0.0,23.433,0.0,0.862,0.0,0.719,RELIANCE,2022-06-15 00:00:00,1198.1920166015625,0
0.0,0.0,11.4,22.932,22.932,1.027,2.0,1.0,-1.0,0.0,0.0,-9.034,0.0,22.332,0.0,0.693,0.0,0.71,RELIANCE,2022-06-22 00:00:00,1156.333984375,0
1.0,0.0,10.2,17.426,17.426,1.58,2.0,1.0,1.0,0.0,0.0,-11.5,0.0,11.032,0.0,0.766,0.0,0.678,RELIANCE,2022-06-29 00:00:00,1190.73876953125,0
1.0,0.0,11.2,17.656,17.656,1.347,2.0,3.0,1.0,-1.0,0.0,-14.807,0.0,13.11,0.0,0.909,0.0,0.662,RELIANCE,2022-07-06 00:00:00,1113.068359375,0
13.0,1.0,10.4,20.767,20.767,6.575,1.0,5.0,-1.0,-1.0,1.0,-2.345,0.0,3.159,0.0,0.557,0.0,0.686,RELIANCE,2022-07-13 00:00:00,1097.2388916015625,0
19.0,1.0,5.0,12.407,12.407,3.819,1.0,5.0,-1.0,0.0,0.0,-3.049,0.0,3.249,0.0,0.827,0.0,0.445,RELIANCE,2022-07-20 00:00:00,1155.134033203125,0
13.0,1.0,10.8,19.127,19.127,5.733,2.0,6.0,-1.0,0.0,0.0,-2.389,0.0,3.336,0.0,0.595,0.0,0.691,RELIANCE,2022-07-27 00:00:00,1116.46044921875,0
1.0,0.0,5.8,10.055,10.055,33.516,2.0,5.0,1.0,0.0,0.0,-1.195,0.0,0.3,0.0,0.719,0.0,0.437,RELIANCE,2022-08-03 00:00:00,1202.830078125,0
1.0,0.0,6.8,10.237,10.237,34.122,4.0,5.0,1.0,0.0,0.0,-1.347,0.0,0.3,0.0,0.583,0.0,0.446,RELIANCE,2022-08-11 00:00:00,1195.792236328125,0
5.0,0.0,12.0,16.997,16.997,21.438,2.0,5.0,1.0,0.0,0.0,-5.539,0.0,0.793,0.0,0.426,0.0,0.761,RELIANCE,2022-08-19 00:00:00,1206.2913818359375,0
5.0,0.0,12.0,17.177,17.177,41.5,2.0,5.0,1.0,0.0,0.0,-6.577,0.0,0.414,0.0,0.492,0.0,0.785,RELIANCE,2022-08-26 00:00:00,1208.20654296875,0
9.0,0.0,2.4,5.847,5.847,19.49,3.0,1.0,-1.0,0.0,0.0,-0.19,0.0,0.3,0.0,1.058,0.0,0.312,RELIANCE,2022-09-05 00:00:00,1185.9622802734375,0
9.0,0.0,3.4,5.847,5.847,6.3,3.0,2.0,-1.0,0.0,0.0,-1.726,0.0,0.928,0.0,0.734,0.0,0.336,RELIANCE,2022-09-12 00:00:00,1198.9996337890625,0
4.0,0.0,5.6,7.36,7.36,6.809,3.0,1.0,-1.0,0.0,0.0,-0.329,1.0,1.081,0.0,1.823,0.0,0.421,RELIANCE,2022-09-19 00:00:00,1154.8802490234375,0
4.0,0.0,6.6,9.534,9.534,31.78,3.0,1.0,-1.0,0.0,0.0,-0.14,0.0,0.3,0.0,0.884,0.0,0.548,RELIANCE,2022-09-26 00:00:00,1097.1466064453125,0
6.0,0.0,12.0,15.388,15.388,15.089,3.0,2.0,-1.0,0.0,0.0,-2.888,1.0,1.02,0.0,1.435,0.0,0.781,RELIANCE,2022-10-03 00:00:00,1093.52392578125,0
6.0,0.0,12.0,15.39,15.39,9.136,3.0,2.0,-1.0,0.0,0.0,-4.102,1.0,1.685,0.0,0.516,0.0,0.801,RELIANCE,2022-10-11 00:00:00,1088.17041015625,0
6.0,0.0,12.0,15.19,15.19,50.635,3.0,2.0,-1.0,0.0,0.0,-4.23,1.0,0.3,0.0,1.408,0.0,0.794,RELIANCE,2022-10-18 00:00:00,1131.25146484375,0
10.0,0.0,3.2,8.851,8.851,29.503,3.0,1.0,1.0,0.0,0.0,-1.899,0.0,0.3,0.0,0.32,0.0,0.447,RELIANCE,2022-10-25 00:00:00,1126.77490234375,1
13.0,1.0,6.8,13.791,13.791,1.103,1.0,2.0,-1.0,0.0,0.0,-9.47,0.0,12.505,0.0,1.215,0.0,0.648,RELIANCE,2022-11-02 00:00:00,1174.8170166015625,0
5.0,0.0,12.0,14.051,14.051,26.229,3.0,2.0,1.0,0.0,0.0,-2.723,0.0,0.536,0.0,1.008,0.0,0.789,RELIANCE,2022-11-10 00:00:00,1187.2083740234375,0
5.0,0.0,12.0,13.735,13.735,11.046,3.0,2.0,1.0,0.0,0.0,-2.908,0.0,1.243,0.0,0.867,0.0,0.769,RELIANCE,2022-11-17 00:00:00,1199.461181640625,0
5.0,0.0,12.0,13.14,13.14,5.232,4.0,2.0,1.0,0.0,0.0,-3.689,1.0,2.511,0.0,0.586,0.0,0.754,RELIANCE,2022-11-24 00:00:00,1190.2542724609375,0
5.0,0.0,12.0,15.906,15.906,13.106,1.0,2.0,1.0,0.0,0.0,-0.514,0.0,1.214,0.0,2.394,0.0,0.919,RELIANCE,2022-12-01 00:00:00,1256.802490234375,0
5.0,0.0,12.0,16.752,16.752,53.174,3.0,2.0,1.0,1.0,1.0,-3.793,0.0,0.315,0.0,0.765,0.0,0.929,RELIANCE,2022-12-08 00:00:00,1222.62841796875,0
5.0,0.0,12.0,16.976,16.976,56.586,3.0,2.0,1.0,1.0,1.0,-5.064,1.0,0.3,0.0,0.667,0.0,0.942,RELIANCE,2022-12-15 00:00:00,1189.9080810546875,0
6.0,0.0,12.0,18.676,18.676,1.737,3.0,2.0,-1.0,1.0,0.0,-11.835,0.0,10.754,0.0,0.779,0.0,0.927,RELIANCE,2022-12-22 00:00:00,1189.654296875,0
0.0,0.0,6.6,10.144,10.144,33.813,3.0,3.0,-1.0,0.0,0.0,-2.094,0.0,0.3,0.0,0.754,0.0,0.552,RELIANCE,2022-12-29 00:00:00,1173.7325439453125,0
0.0,0.0,7.6,10.066,10.066,33.553,3.0,3.0,-1.0,0.0,0.0,-1.055,0.0,0.3,0.0,0.97,0.0,0.576,RELIANCE,2023-01-05 00:00:00,1160.233642578125,0
10.0,0.0,2.8,4.411,4.411,1.965,2.0,3.0,1.0,0.0,0.0,-3.064,0.0,2.245,0.0,1.387,0.0,0.27,RELIANCE,2023-01-12 00:00:00,1140.6429443359375,0
10.0,0.0,3.8,6.941,6.941,1.509,2.0,2.0,1.0,0.0,0.0,-5.038,0.0,4.601,0.0,1.329,0.0,0.419,RELIANCE,2023-01-19 00:00:00,1140.8507080078125,0
0.0,0.0,3.6,9.617,9.617,3.493,2.0,2.0,-1.0,-1.0,1.0,-0.107,0.0,2.753,0.0,1.035,0.0,0.552,RELIANCE,2023-01-27 00:00:00,1078.6866455078125,0
0.0,0.0,4.6,13.29,13.29,5.755,2.0,4.0,-1.0,-1.0,1.0,-1.128,0.0,2.309,0.0,0.986,0.0,0.673,RELIANCE,2023-02-03 00:00:00,1074.8331298828125,0
0.0,0.0,5.6,13.973,13.973,2.392,2.0,3.0,-1.0,-1.0,1.0,-2.75,0.0,5.842,0.0,0.905,0.0,0.708,RELIANCE,2023-02-10 00:00:00,1078.3636474609375,0
0.0,0.0,6.6,14.325,14.325,1.123,2.0,3.0,-1.0,-1.0,1.0,-5.977,0.0,12.76,0.0,1.154,0.0,0.703,RELIANCE,2023-02-17 00:00:00,1126.15185546875,0
5.0,0.0,12.0,16.965,16.965,1.276,2.0,3.0,1.0,-1.0,0.0,-14.065,0.0,13.291,0.0,0.792,0.0,1.0,RELIANCE,2023-02-24 00:00:00,1100.0771484375,0
5.0,0.0,12.0,14.042,14.042,1.135,2.0,3.0,1.0,-1.0,0.0,-12.719,0.0,12.368,0.0,0.74,0.0,0.865,RELIANCE,2023-03-03 00:00:00,1100.8616943359375,0
5.0,0.0,12.0,13.187,13.187,1.291,2.0,3.0,1.0,0.0,0.0,-11.785,0.0,10.212,0.0,1.023,0.0,0.783,RELIANCE,2023-03-13 00:00:00,1054.29638671875,0
